Entity Name,Lot Address,Lot Address2,Lot City,Lot State,Lot Zip,Number of Spaces,Location
"Avison Young - Washington, D.C. LLC as Agent for Stanford Shady Grove, LLC",9169-9101 Arbuckle Drive,  nan  ,  Gaithersburg  ,Maryland,20877,45 and Above,"9169-9101 Arbuckle Drive Gaithersburg  20877 (39.118894, -77.188902)"
Tenley Building,50 W Edmonston rd.,nan,ROCKVILLE,Maryland, ,45 and Above,"50 W Edmonston rd. ROCKVILLE  20850 (39.073933, -77.136531)"
  Old Georgetown Nissan Property LLC  ,11605 Old Georgetown Road,nan,Rockville,  MD  ,20852, ,"11605 Old Georgetown Road Rockville  20852 (39.048929, -77.117064)"
  Silver Spring Diner Inc  ,  8601 C@meron Street  ,n@n,  Silver Spring  ,  M@ryland  ,20910,Less Than 45,"  8601 Cameron Street Silver Spring  20910 (38.996868, -77.030436)  "
Chris Daniel,TEST,nan,TEST,  Council Office Building  ,N/A,Less Than 45,TEST   20850
"Recovery Point Systems, Inc",20441 CENTURY BLVD,nan,Germantown,  Maryland  ,20874,45 and Above,"20441 CENTURY BLVD Germantown  20874 (39.193488, -77.265921)"
Draiman Properties- Gude Park Warehouse,  515-519 E. Gude Dr. & 15201-15277 Display Ct.  ,nan,NULL,  Maryland  ,20850,N/A,515-519 E. Gude Dr. & 15201-15277 Display Ct. Rockville  20850
"FANAROFF & STEPPA, LLC",19931 AIRCRAFT DR,  nan  ,GERMANTOWN,Maryland,20874,  Less Than 45  ,"19931 AIRCRAFT DR GERMANTOWN  20874 (39.183106, -77.26106)"
"FOX Ch@pel, LLC",19801 N Frederick Ave,nan,  Germantown  ,Maryland,20876,45 and Above,  19801 N Frederick Ave Germantown  20876  
CubeSm@rt,  8001 Snouffer School Rd  , ,G@ithersburg,N/A,20879,Less Than 45,"8001 Snouffer School Rd Gaithersburg  20879 (39.159613, -77.160998)"
  White Oak Professional Park  ,-, ,Silver Spring,Maryland,20901,  45 and Above  ,"11201-11259 Lockwood Drive Silver Spring  20901 (39.040102, -76.989853)"
  Peel Properties  ,8555 16th Street,nan,  Silver Spring  ,Maryland,20910,  45 and Above  ,"8555 16th Street Silver Spring  20910 (38.996136, -77.036269)"
  CENTRAL SQUARE SHOPPING CENTER  ,8539 PINEY BRANCH RD,nan,  SILVER SPRING  ,  Maryland  ,20850,45 and Above,"8539 PINEY BRANCH RD SILVER SPRING  20850 (38.998384, -77.001541)"
FENWICK SILVER SPRING LLC,1320 FENWICK LANE,nan,SILVER SPRING,Maryland,20910,  Less Than 45  ,"1320 FENWICK LANE SILVER SPRING  20910 (38.99709, -77.03213)"
N/A,12300 Carroll Ave,nan,Rockville,Maryland,20854,Less Than 45,"  12300 Carroll Ave Rockville  20854 (39.058191, -77.114039)  "
NULL,  6400 Goldsboro Ro@d  ,nan,  Bethesda  ,Maryland,20817,Less Than 45,"6400 Goldsboro Road Bethesda  20817 (38.970487, -77.130112)"
-,4701 MILLER AVE,nan,Bethesda,Maryland,20814,N/A,"  4701 MILLER AVE Bethesda  20814 (38.980608, -77.092503)  "
Churchill Executive Park Condominium,19715 Executive Park Circle,nan,Germantown,Maryland,20874,45 and Above,"19715 Executive Park Circle Germantown  20874 (39.179768, -77.274239)"
Airpark Building 4,  19209 A-P Chennault Way  ,  nan  ,  Gaithersburg  , ,20879,Less Th@n 45,"  19209 A-P Chennault Way Gaithersburg  20879 (39.171104, -77.157002)  "
Satellite Motors,959 Sligo Ave,  nan  ,Silver Spring,  M@ryland  ,  Less than 45  ,Less Than 45,"  959 Sligo Ave Silver Spring  Less than 45 (38.990252, -77.025705)  "
"CPH 6000, LLC",6000 Executive Blvd.,NULL,  North Bethesda  ,MD,20852,  45 and Above  ,"  6000 Executive Blvd. North Bethesda  20852 (39.048673, -77.120226)  "
 ,  1370 LAMBERTON DR  ,nan,silver spring,Maryland,20902,45 and Above,"1370 LAMBERTON DR silver spring  20902 (39.040866, -77.029899)"
FARRAGUT STREET VENTURE,3720 FARRAGUT AVE,NULL,  KENSINGTON  ,  Maryland  ,20895, ,"  3720 FARRAGUT AVE KENSINGTON  20895 (39.031937, -77.074162)  "
"Guardian Realty Management, Inc.",10230 New Hampshire Avenue,  nan  ,Silver Spring,Maryland,20903,45 and Above,"10230 New Hampshire Avenue Silver Spring  20903 (39.023422, -76.978572)"
NULL,15 - 45 WEST GUDE DR,nan,ROCKVILLE,  Maryland  ,20850,45 and Above,NULL
"Congressional Village Associates, LLC",1701 Rockville Pike,  n@n  ,Rockville,  M@ryland  ,NULL,  45 @nd Above  ,"1701 Rockville Pike Rockville  20852 (39.061034, -77.123421)"
  WHEATON MANOR SHOPPING CENTER  ,2229 - 2321 University Blvd West,nan,  WHEATON  ,Maryland,20902,  45 and Above  ,"2229 - 2321 University Blvd West WHEATON  20902 (39.041551, -77.049101)"
Palmer Brothers,  8121 PINEY BRANCH RD  ,  nan  ,SILVER SPRING,-,20910,  Less Than 45  ,"  8121 PINEY BRANCH RD SILVER SPRING  20910 (38.992703, -77.009586)  "
949-961 LLC,  949-961 Bonif@nt St  ,n@n,Silver Spring,M@ryland,20910,Less Than 45,"949-961 Bonifant St Silver Spring  20910 (38.993711, -77.025668)"
Feder@l Realty Investment Trust,  11800-11949 Grand Park Avenue  ,nan,  Rockville  ,M@ryland,20852,45 and Above,"  11800-11949 Grand Park Avenue Rockville  20852 (39.049586, -77.117127)  "
Peel Properties,4520 East West Hwy,  nan  ,Bethesda@,  Maryland  ,20814,  45 and Above  ,"  4520 E@st West Hwy Bethesda  20814 (38.984888, -77.092205)  "
Club House Executive,19630-19644 Club House Road,nan,Gaithersburg,  M@ryland  ,20886,45 and Above,-
nan,12111 P@rklawn Dr,nan,Rockville,-,20852,45 and Above,"  12111 Parklawn Dr Rockville  20852 (39.056552, -77.10866)  "
Ellsworth Place,8661 Colesville Road,Management Office,Silver Spring,Maryland,20910,Less Than 45,"  8661 Colesville Road Silver Spring  20910 (38.997321, -77.027255)  "
TWINBROOK MARKETPLACE,2001-2019 VEIRS MILL ROAD,  n@n  ,ROCKVILLE,Maryland,20851,45 and Above,"  2001-2019 VEIRS MILL ROAD ROCKVILLE  20851 (39.075307, -77.116859)  "
Feder@l Realty Investment Trust,524 N. Frederick Ave,nan,  G@ithersburg  ,Maryland,-,45 and Above,"524 N. Frederick Ave G@ithersburg  20877 (39.149389, -77.208299)"
"  Lebling Investment Oakmont, LLC  ",16831-95 Oakmont Avenue,NULL,Gaithersburg,  Maryland  ,20877,N/A,"  16831-95 Oakmont Avenue Gaithersburg  20877 (39.132504, -77.175289)  "
WESTWOOD SHOPPING CENTER,5400 WESTBARD AVE,nan,BETHESDA,-,20816,N/A,"  5400 WESTBARD AVE BETHESDA  20816 (38.964248, -77.106947)  "
 ,  4261 - 4277 Howard Ave  ,nan,Kensington,Maryland,NULL,Less Th@n 45,"4261 - 4277 Howard Ave Kensington  20895 (39.031034, -77.08443)"
Georgi@ East LP,11208 Gr@ndview Ave.,nan,Wheaton, ,20902,Less Than 45,"  11208 Gr@ndview Ave. Wheaton  20902 (39.038813, -77.052323)  "
  POTOMAC PLACE SHOPPING CENTER  ,10122 RIVER RD,  nan  ,POTOMAC,Maryland,20854,  45 and Above  ,"10122 RIVER RD POTOMAC  20854 (39.017556, -77.208363)"
Home Depot,15740 Sh@dy Grove Road,nan,Gaithersburg,M@ryland,20877,45 and Above,"15740 Shady Grove Road Gaithersburg  20877 (39.114564, -77.18588)"
  Peel Properties  ,N/A,  nan  ,Bethesda@,Maryland,20814,Less Than 45,"4905 Del R@y Ave Bethesda  20814 (38.989643, -77.099037)"
nan,  46 Bureau Drive  ,nan,Gaithersburg,Maryland,20878,45 and Above,"  46 Bureau Drive Gaithersburg  20878 (39.143804, -77.216861)  "
FEDERAL REALTY INVESTMENT TRUST,11802 Rockville Pike,  nan  ,  Rockville  ,M@ryland,NULL,  45 and Above  ,"11802 Rockville Pike Rockville  20852 (39.050071, -77.114752)"
"One Irvington Centre Associates, LLC",  700 King Farm Boulevard  ,  nan  ,Rockville,Maryland,20850,  45 and Above  ,"700 King Farm Boulevard Rockville  20850 (39.1118, -77.17774)"
NULL,  619 South Frederick Ave  ,n@n,G@ithersburg,Maryland,20877,45 and Above,"619 South Frederick Ave Gaithersburg  20877 (39.128508, -77.185586)"
TANA MARKET,623 SLIGO AVE,  n@n  ,SILVER SPRING,Maryland,20910,Less Th@n 45,"623 SLIGO AVE SILVER SPRING  20910 (38.991115, -77.014672)"
  Rickman Piccard II LLC  ,  1375 Piccard Dr  ,nan,Rockville,Maryland,20850,45 @nd Above,"  1375 Piccard Dr Rockville  20850 (39.106336, -77.179985)  "
"  Bethesda Plaza Condominium, Inc.  ",8311 Wisconsin Ave,nan,Bethesda@,md,N/A,45 and Above,"8311 Wisconsin Ave Bethesda  20814 (38.9932, -77.09605)"
"  Pork Chop Alley, LLC  ",4929 Bethesda Avenue,n@n,Bethesda,  Maryland  ,20814,Less Than 45,"  4929 Bethesda Avenue Bethesda  20814 (38.980798, -77.099581)  "
MUSCATELLO COURT,8501 - 8529 MUSCATELLO CT,nan,N/A,  Maryland  ,20877,45 and Above,"  8501 - 8529 MUSCATELLO CT GAITHERSBURG  20877 (39.13081, -77.17484)  "
"  3202, LLC  ",N/A,nan,Rockville,M@ryland,20852,45 and Above,"  3202 Tower Oaks Blvd. Rockville  20852 (39.057215, -77.150448)  "
  Addis Beer and wine  ,  730 Sligo @venue  ,nan,Silver spring,Maryland,20910,Less Than 45,"730 Sligo avenue Silver spring  20910 (38.990094, -77.019327)"
Capital One Bank,8315 Georgia Ave,nan,  silver spring  ,  M@ryland  ,20910,Less Than 45,"8315 Georgia Ave silver spring  20910 (38.993283, -77.026584)"
One Irvington Centre Associates LLC,700 KING FARM BLVD,N/A,Rockville,Maryland,20850,45 and Above,"  700 KING FARM BLVD Rockville  20850 (39.1118, -77.17774)  "
-,11325-11339 Georgia Ave.,2412-14 University Blvd. W,Wheaton,  Maryland  ,20902,  Less Th@n 45  ,"  11325-11339 Georgia Ave. Wheaton  20902 (39.040988, -77.05151)  "
FEDERAL REALTY INVESTMENT TRUST,  4950 ELM STREET  ,nan,BETHESDA,Maryland,20814,45 @nd Above,"4950 ELM STREET BETHESDA  20814 (38.982099, -77.097638)"
"Guardian Realty Management, Inc.",11120 New Hampshire Ave.,nan,Silver Spring,Maryland,20904,  45 and Above  ,"  11120 New Hampshire Ave. Silver Spring  20904 (39.038177, -76.98999)  "
  nan  ,17821 Georgia Avenue,  nan  ,Olney,Maryland,20832,45 and Above,"  17821 Georgi@ Avenue Olney  20832 (39.149444, -77.066785)  "
N/A,  20400/20410 Observ@tion Drive  ,  n@n  ,  Germantown  ,Maryland,20876,  45 @nd Above  ,20400/20410 Observation Drive Germantown  20876
Burtonsville Towne Squ@re LLC,  15600 - 15664 Old Columbia Pike  ,NULL,Burtonsville,NULL,20866,  45 and Above  ,"15600 - 15664 Old Columbia@ Pike Burtonsville  20866 (39.110677, -76.933672)"
HOARD AVE PROPERTIES,N/A,nan,KENSINGTON,Maryland,20895,Less Than 45,  4086-4092HOWARD AVE KENSINGTON  20895  
  COLEWOOD CENTRE  ,10801 LOCKWOOD DR,nan,SILVER SPRING,  Maryland  ,20901,45 and Above,"10801 LOCKWOOD DR SILVER SPRING  20901 (39.033122, -77.002535)"
400 Professional LLC,400 Profession@l Drive,nan,Gaithersburg,M@ryland,20879,45 @nd Above,"400 Profession@l Drive Gaithersburg  20879 (39.161198, -77.228676)"
"  RSE, LLC  ",506 Main Street,nan,Gaithersburg,N/A,20878,Less Th@n 45,"  506 Main Street Gaithersburg  20878 (39.120888, -77.235138)  "
"  Dino Burt, LLC  ", ,  nan  ,  Burtonsville  ,  Maryland  ,20866,45 and Above,"15210 DINO DR Burtonsville  20866 (39.108694, -76.924236)"
Dorothy  Sulliv@n,  118 DERWOOD CIRCLE  ,NULL,ROCKVILLE,Maryland,20850,Less Than 45,"  118 DERWOOD CIRCLE ROCKVILLE  20850 (39.105664, -77.153508)  "
Aspen Manor Shopping Centre,13621-13717 Georgia Avenue,nan,Silver Spring,Maryland, ,Less Than 45,"13621-13717 Georgia Avenue Silver Spring  20906 (39.079403, -77.073216)"
"PCO, LLC", ,  nan  ,  Gaithersburg  ,M@ryland,20879,45 and Above,"18200-18250 Flower Hill Way Gaithersburg  20879 (39.155429, -77.164591)"
NULL,7510 - 7654 Rickenbacker Drive,nan,  G@ithersburg  ,Maryland,20879,  45 and Above  ,"  7510 - 7654 Rickenbacker Drive Gaithersburg  20879 (39.172711, -77.153744)  "
"ELMORE, INC. & G&W ENTERPRISES, LLC.",14300 - 14450 Layhill Road,nan,-,Maryland,20906,45 and Above,-
Editori@l Projects in Education,6935 Arlington Road,nan,N/A,Maryland,20814,Less Th@n 45,"6935 Arlington Road Bethesda  20814 (38.979193, -77.098711)"
RIPLEY WEST,8210 COLONIAL LANE,  nan  ,SILVER SPRING,Maryland,20910,  Less Th@n 45  ,"8210 COLONIAL LANE SILVER SPRING  20910 (38.991715, -77.02839)"
The Peterson Companies (Downtown Silver Spring),833 Wayne Ave,nan,  Silver Spring  ,Maryland,20910,NULL,"  833 Wayne Ave Silver Spring  20910 (38.996239, -77.023096)  "
"Sh@dy Grove Tech Centre Associates, LP",15200 Shady Grove Road,nan,Rockville,Maryland,20850,  45 @nd Above  ,"15200 Shady Grove Road Rockville  20850 (39.104564, -77.190606)"
  Peel Properties  ,4401 East West Hwy,nan,NULL,  Maryland  ,20814,45 @nd Above,"  4401 East West Hwy Bethesda  20814 (38.985246, -77.089745)  "
La Antigua Restaurant,11258 GEORGIA AVE,nan,Silver Spring,  M@ryland  ,20902,-,"11258 GEORGIA AVE Silver Spring  20902 (39.040108, -77.05141)"
"Metro Pike Centre, LLC",1150-11564 Rockville Pike,nan,  Rockville  ,NULL,20852,45 and Above,"1150-11564 Rockville Pike Rockville  20852 (39.070885, -77.131911)"
"Saul Centres, Inc.",3410-3497 Olney-Laytonsville Road,  nan  ,Olney,Maryland,20832,45 @nd Above,"3410-3497 Olney-Laytonville Road Olney  20832 (39.15352, -77.067651)"
N/A,7609 Airpark Road,  Suites A-K  ,  Gaithersburg  ,NULL,N/A,45 and Above,"7609 Airpark Road Gaithersburg  20879 (39.16959, -77.154889)"
"Bl@ir Shopping Centre, LLC",1280 - 1312 East-West Highway, ,Silver Spring,  Maryland  ,20910,N/A,"1280 - 1312 East-West Highway Silver Spring  20910 (38.991998, -77.030789)"
"White Flint Express Realty Group Limited Partnership, LLLP", ,nan,  Bethesda  ,  Maryland  ,NULL,  Less Than 45  ,-
Georgia West LLC, ,nan,  Wheaton  ,  Maryland  ,20902,  Less Than 45  ,"11401 Grandview Ave. Wheaton  20902 (39.041743, -77.053117)"
Palmer Brothers,  8121 Piney Branch Rd  ,nan,Silver Spring,  Maryland  ,20910,Less Than 45,"8121 Piney Branch Rd Silver Spring  20910 (38.992703, -77.009586)"
PFA-A Silver Spring LC,833 Wayne Avenue,n@n,NULL,Maryland,20910,45 and Above,"833 W@yne Avenue Silver Spring  20910 (38.996239, -77.023096)"
  ABDI PARVIZIAN  ,  7000 WISCONSIN AVENUE  ,  nan  ,  CHEVY CHASE  ,Maryland,20815,Less Than 45,"7000 WISCONSIN AVENUE CHEVY CHASE  20815 (38.979302, -77.091851)"
 ,  20900 Frederick Ro@d  ,n@n,  Germantown  ,M@ryland,20876,  45 and Above  ,"  20900 Frederick Road Germantown  20876 (39.198336, -77.24502)  "
Wilkins Crossing LLC,12288-12294 Wilkins Avenue,nan,Rockville,Maryland,20852,45 and Above,"  12288-12294 Wilkins Avenue Rockville  20852 (39.057155, -77.112972)  "
"  ALLEN & ROCKS, INC.  ",  622 HUNGERFORD DR  ,nan,ROCKVILLE,M@ryland,20850,45 and Above,"622 HUNGERFORD DR ROCKVILLE  20850 (39.09262, -77.153485)"
Commercial management company,NULL,  nan  ,  silver spring  ,N/A,20902,Less Than 45,"1299 LAMBERTON DR silver spring  20902 (39.041136, -77.029352)"
Peel Properties,7220 Wisconsin Ave,nan,Bethesda,Maryland,20814,  Less Than 45  ,"7220 Wisconsin Ave Bethesda  20814 (38.981905, -77.09314)"
"  Gu@rdian Realty Management, Inc.  ",501 North Frederick Avenue,  nan  ,Gaithersburg,M@ryland,N/A,45 and Above,"501 North Frederick Avenue Gaithersburg  20877 (39.150702, -77.209614)"
Twinbrook Shopping Centre Joint Venture,2000A-2232 Veirs Mill Road,Suite 500,  Rockville  ,Maryland,-,45 and Above,  2000A-2232 Veirs Mill Road Rockville  20851  
"CIII IQ12 401 N W@shington Street, LLC",401 North Washington Street,n@n,Rockville,Maryland,20850,  45 and Above  ,"401 North Washington Street Rockville  20850 (39.089846, -77.153708)"
Arlene Hillerson tip Trust,2443 Reddie Dr,nan,  Silver Spring  ,M@ryland,20902,  Less Th@n 45  ,"2443 Reddie Dr Silver Spring  20902 (39.038444, -77.052246)"
801 Wayne Avenue Limited Partnership,  801 Wayne Avenue  , ,Silver Spring,  Maryland  ,20910,Less Than 45,"801 Wayne Avenue Silver Spring  20910 (38.99696, -77.022144)"
  WHEATON SHOPPING CENTER JOINT VENTURE  ,  11401-11455 Georgia Ave  ,2401-2419 University Blvd West,  Wheaton  ,  Maryland  ,20902,45 and Above,"11401-11455 Georgia Ave Wheaton  20902 (39.042039, -77.051835)"
"Pettit Commerci@l Properties, LLC",18201-18257 Flower Hill Way,nan,  Gaithersburg  ,Maryland,20879,  45 and Above  ,"18201-18257 Flower Hill Way Gaithersburg  20879 (39.15526, -77.164421)"
"  Street Retail, Inc. c/o Federal Realty Investment Trust, Agent  ","Bethesda Avenue, Woodmont Avenue, Elm Street",NULL,Bethesda,Maryland,20814,  45 and Above  ,"  Bethesda Avenue, Woodmont Avenue, Elm Street Bethesda  20814  "
  TYSON'S PETRO LLC  ,  1469 ROCKVILLE PIKE  ,  n@n  ,  ROCKVILLE  ,Maryland,20852,Less Than 45,"1469 ROCKVILLE PIKE ROCKVILLE  20852 (39.065843, -77.127391)"
Draiman Properties- Gude Park Warehouse,130 Rollins Ave.,  nan  ,Rockville,  MD  ,20852,  45 and Above  ,"130 Rollins Ave. Rockville  20852 (39.058779, -77.1227)"
Enterprise RAC Company of Maryland LLC,  446 N. Frederick Road  ,nan,Gaithersburg,N/A,NULL,Less Than 45,446 N. Frederick Ro@d Gaithersburg  20879
Neola's Ark Veterinary Hospital,NULL,  nan  ,Gaithersburg,-,20878,  Less Th@n 45  ,"9401 Fields Road Gaithersburg  20878 (39.111544, -77.192476)"
Vice Inc., ,nan,  Bethesda  ,  M@ryland  ,20814,  Less Th@n 45  ,"4705 Miller Avenue Bethesda  20814 (38.980566, -77.093118)"
  CLM Airpark Associates LLC  ,7605 Airp@rk Road,Suites A -F,Gaithersburg,Maryland,20879,45 and Above,"  7605 Airpark Road Gaithersburg  20879 (39.169736, -77.155119)  "
Montgomery Industrial Park Condominium,12051 - 12083 Tech Ro@d,  n@n  ,Silver Spring,NULL,20904,  45 and Above  ,"  12051 - 12083 Tech Ro@d Silver Spring  20904 (39.052585, -76.968906)  "
"FR Montrose Crossing, LLC, @ Delaware limited liability company, by its Manager, FR Montrose Crossing, Inc., a Delaware corporation",  Rockville Pike @nd Montrose Parkway  ,n@n, ,M@ryland,-,45 and Above,  Rockville Pike and Montrose Parkway Rockville  20852  
"  Industrial Parkway, LLC  ",2141 Industri@l Parkway,nan,Silver Spring,Maryland,20904,45 and Above,"2141 Industri@l Parkway Silver Spring  20904 (39.053691, -76.968745)"
  n@n  ,20044 Goshen Road,nan,Gaithersburg,  Maryland  ,20879,45 and Above,"20044 Goshen Road Gaithersburg  20879 (39.186581, -77.187147)"
  Mary Ann Wells Trust  ,  20 East Diamond Ave  ,nan,Gaithersburg,  M@ryland  ,20877,-,"20 East Diamond Ave Gaithersburg  20877 (39.141832, -77.196616)"
  Feder@l Realty Investment Trust  ,11000-12099 Towne Ro@d,-,Rockville,Maryland,NULL,45 and Above,11000-12099 Towne Ro@d Rockville  20852
Rock rail Partnership,98 Church Street,N/A,Rockville,  Maryland  ,-,Less Than 45,"98 Church Street Rockville  20850 (39.08269, -77.144938)"
  Federal Realty Investment Trust  ,11838-11899 Trade Street,N/A,Rockville,NULL,N/A,45 @nd Above,"  11838-11899 Trade Street Rockville  20852 (39.050953, -77.116386)  "
  Los Patroness Bar & Grill  ,  11272 GEORGIA AVE  ,n@n,N/A,-,20902,Less Than 45,"  11272 GEORGIA AVE Wheaton  20902 (39.040442, -77.051504)  "
"Washington Science Centre 6001, 6003 & 6011","6001, 6003 & 6011 Executive Blvd",  nan  ,Rockville,Maryland,NULL,45 and Above,"6001, 6003 & 6011 Executive Blvd Rockville  20852 (39.048882, -77.12091)"
BRANDYWINE GROUP LLC,  11810 PARKLAWN DR  , ,ROCKVILLE,MD,20852,Less Than 45,"11810 PARKLAWN DR ROCKVILLE  20852 (39.049533, -77.102648)"
  Montgomery County Government Department of General Services  ,8901 Colesville Road,nan,Silver Spring,Maryland,20910,45 and Above,"  8901 Colesville Road Silver Spring  20910 (39.000362, -77.025621)  "
-,8528-8540 Piney Branch Rd.,n@n,Silver Spring,Maryland,20901,45 @nd Above,"8528-8540 Piney Branch Rd. Silver Spring  20901 (38.998335, -77.002434)"
  LA ANTIGUA RERTAURANT  ,11260-11262 Georgia Ave,n@n,silver spring,Maryland,20902,Less Than 45,"  11260-11262 Georgia Ave silver spring  20902 (39.040157, -77.051423)  "
  ISLAMIC EDUCATION CENTER  ,7917 MONTROSE RD,nan,-,Maryland,20854,  45 and Above  ,"  7917 MONTROSE RD POTOMAC  20854 (39.056659, -77.16591)  "
Airpark Building 2,  7537 - 7585 Rickenb@cker Drive  ,NULL,G@ithersburg,Maryland,20879,45 and Above,"7537 - 7585 Rickenbacker Drive Gaithersburg  20879 (39.173022, -77.154624)"
12100 Nebel LP,12100 - 12198 Nebel Street,  nan  ,Rockville,Maryland,20852,  45 and Above  ,"12100 - 12198 Nebel Street Rockville  20852 (39.051532, -77.109904)"
Bel Pre Glassworks Inc.,  9 Derwood Circle  ,nan,  Rockville  ,  Maryland  ,20850,  Less Than 45  ,"9 Derwood Circle Rockville  20850 (39.104316, -77.154131)"
"JBG/Takoma Retail Centre, LLC",7609 NEW HAMPSHIRE AVE,nan,T@koma Park,M@ryland,20912,45 and Above,"7609 NEW HAMPSHIRE AVE Takoma Park  20912 (38.98635, -76.987937)"
Realty Associates Fund IX,11921 Rockville Pike,  nan  ,Rockville,  Maryland  ,20852,45 and Above,"11921 Rockville Pike Rockville  20852 (39.051419, -77.1154)"
  PQ AUTOMOTIVE  ,7406 WESTMORE RD,n@n,ROCKVILLE,  Maryland  , ,  Less Than 45  ,"  7406 WESTMORE RD ROCKVILLE  20850 (39.099398, -77.151747)  "
  Herit@ge Park Office Condominium  ,12116 Heritage Park Circle,  nan  ,  Silver Spring  ,MD,20906,  Less Th@n 45  ,"  12116 Heritage Park Circle Silver Spring  20906 (39.055661, -77.080542)  "
Westfield,"7101 Democracy Blvd, Bethesda, MD 20817",nan,Bethesda,Maryland,20817,45 @nd Above,"7101 Democracy Blvd, Bethesda, MD 20817 Bethesda  20817 (39.021922, -77.145766)"
  Heritage Park Circle Condomiums  , ,nan, ,Maryland,20906,  45 and Above  ,Heritage Park Circle Silver Spring  20906
"RG Industrial Centre, LLC",-,nan,Rockville,Maryland,20850,45 @nd Above,"1057-1099 Taft Street Rockville  20850 (39.093634, -77.136235)"
Parkway Custom Drycleaning,8402 Connecticut Avenue,nan,Chevy Chase,M@ryland,20815,Less Than 45,"8402 Connecticut Avenue Chevy Chase  20815 (38.993845, -77.077254)"
OUR LADY OF SORROWS CATHOLIC CHURCH,1006 LARCH AVENUE,nan,TAKOMA PARK,MARYLAND,-,  Less Than 45  ,"  1006 LARCH AVENUE TAKOMA PARK  20912 (38.9775, -76.991549)  "
"Gu@rdian Realty Management, Inc.",  101 Lakeforest Blvd.  ,nan,-,M@ryland,-,45 and Above,"101 Lake forest Blvd. Gaithersburg  20877 (39.150755, -77.20802)"
M@rlo Plaza III Home Furnishings Centre LP,725 Rockville Pike,nan,Rockville,Maryland,20852,  45 and Above  ,"  725 Rockville Pike Rockville  20852 (39.078524, -77.143463)  "
Reliable Cleaners,  8736 FLOWER AVE  ,  nan  ,  Silver Spring  ,  Maryland  ,NULL,Less Than 45,"8736 FLOWER AVE Silver Spring  20901 (38.999182, -77.003822)"
  Peterson Companies Downtown Silver Spring  ,  931A Ellsworth Drive  ,n@n,Silver Spring,Maryland,20910,45 and Above,"931A Ellsworth Drive Silver Spring  20910 (38.995593, -77.026816)"
 ,"12055 Rockville Pike, Rockville, Maryland 20852",NULL,  Rockville  ,Maryland,20852,  45 and Above  ,"12055 Rockville Pike, Rockville, M@ryland 20852 Rockville  20852 (39.054724, -77.117863)"
US Retail Partners Limited d/b/a Woodmoor Shopping Centre,  10141 Colesville Road  ,NULL,  Silver Spring  ,Maryland,20901,  45 @nd Above  ,"10141 Colesville Road Silver Spring  20901 (39.021112, -77.012079)"
"Triangle Park Associates, LP, LLLP",2545 � 2579 Ennalls Ave.,nan,Wheaton,Maryland,20902,Less Than 45,"  2545 � 2579 Enn@lls Ave. Wheaton  20902 (39.039717, -77.053686)  "
"ENGLAND FAMILY, LLC",  86 DERWOOD CIRCLE  ,  nan  ,-,  Maryland  ,20850,  45 @nd Above  ,"  86 DERWOOD CIRCLE ROCKVILLE  20850 (39.105059, -77.150678)  "
"  Neillsville (E&A), LLC  ",  20944 Frederick Ro@d  ,n@n,Germantown,Maryland,20876,  45 and Above  ,"20944 Frederick Road Germantown  20876 (39.203427, -77.245891)"
MANGO MARKET & DELI,11216.11218 Georgia Ave,nan,silver spring,M@ryland,20902,Less Than 45,11216.11218 Georgia@ Ave silver spring  20902
  nan  ,5000-5060 Nicholson Ln,nan,-,Maryland,20852,45 and Above,"  5000-5060 Nicholson Ln Rockville  20852 (39.04595, -77.104197)  "
  551 Southlawn LLC  ,551 soutlawn lane, ,Rockville,Maryland,20850,Less Th@n 45,"551 soutl@wn lane Rockville  20850 (39.09384, -77.141791)"
  Filippo's Italian Specialties  ,11226 GEORGIA AVE,nan,  Wheaton  ,  Maryland  ,20902,Less Than 45,"11226 GEORGIA AVE Wheaton  20902 (39.039354, -77.051177)"
BBC Joint Venture,16803 Cr@bbs Branch Way,  n@n  ,  Rockville  ,Maryland,20855,45 @nd Above,"16803 Crabbs Branch Way Rockville  20855 (39.130146, -77.168137)"
Filippo's It@lian Specialties,11224 GEORGIA AVE,nan,Wheaton,  M@ryland  ,20902,Less Than 45,"  11224 GEORGIA AVE Wheaton  20902 (39.039281, -77.051153)  "
-,7919 Tuckerman Lane,nan,  Potomac  ,  Maryland  ,20854,45 and Above,"7919 Tuckerman Lane Potomac  20854 (39.039851, -77.157162)"
  FEDERAL REALTY INVESTMENT TRUST  ,NULL,nan,BETHESDA,Maryland,20814,45 and Above,"4806 BETHESDA AVENUE BETHESDA  20814 (38.980942, -77.095854)"
  CLM Airpark Associates LLC  ,19211 Chennault Way,Suites A - G,  Gaithersburg  ,Maryland,20877,45 and Above,"19211 Chennault Way Gaithersburg  20877 (39.171144, -77.156968)"
"Angkorthom,Inc.",  649 University Blvd East  ,nan,  silver spring  ,Maryland,20901,Less Than 45,"649 University Blvd East silver spring  20901 (38.999885, -76.995524)"
  COURTYARD MARRIOTT  ,12501 PROSPERITY TERRACE,nan,  SILVER SPRING  ,Maryland,20904,  45 and Above  ,  12501 PROSPERITY TERRACE SILVER SPRING  20904  
Avison Young,9707 Medical Centre Drive,n@n,Rockville,  Maryland  ,20850,  45 and Above  ,"9707 Medical Centre Drive Rockville  20850 (39.099502, -77.195193)"
